year,job_category,salary_in_usd,country,experience_level,work_setting,general_average_salary
2023,Data Engineering,95012,Germany,Mid-level,Hybrid,48583.56
2023,Data Analysis,42107,Germany,Mid-level,Hybrid,48583.56
2023,Machine Learning and AI,64781,Germany,Senior,Hybrid,48583.56
2023,Machine Learning and AI,129562,Germany,Senior,Remote,48583.56
2023,Data Engineering,107968,Germany,Senior,Remote,48583.56
2023,Data Engineering,90599,Germany,Senior,Remote,48583.56
2023,Data Science and Research,64781,Germany,Senior,In-person,48583.56
2023,Data Engineering,77737,Germany,Senior,Hybrid,48583.56
2023,Data Engineering,86374,Germany,Senior,Remote,48583.56
2023,Machine Learning and AI,113366,Germany,Senior,Hybrid,48583.56
2023,Machine Learning and AI,204060,Germany,Senior,Remote,48583.56
2023,Machine Learning and AI,140358,Germany,Senior,Remote,48583.56
2020,Data Analysis,47899,Germany,Entry-level,In-person,48583.56
2023,Data Analysis,59382,Germany,Mid-level,Hybrid,48583.56
2023,Data Engineering,204500,Germany,Senior,In-person,48583.56
2023,Data Engineering,142200,Germany,Senior,In-person,48583.56
2023,Data Engineering,100000,Germany,Entry-level,Hybrid,48583.56
2023,Machine Learning and AI,120000,Germany,Mid-level,Remote,48583.56
2023,Data Science and Research,275000,Germany,Senior,In-person,48583.56
2023,Data Science and Research,174000,Germany,Senior,In-person,48583.56
2023,Machine Learning and AI,43187,Germany,Entry-level,Hybrid,48583.56
2022,Data Science and Research,73546,Germany,Mid-level,Remote,48583.56
2023,Machine Learning and AI,124163,Germany,Senior,In-person,48583.56
2023,Machine Learning and AI,215936,Germany,Entry-level,Remote,48583.56
2023,Data Analysis,72338,Germany,Senior,Remote,48583.56
2023,Machine Learning and AI,64781,Germany,Entry-level,In-person,48583.56
2023,Data Science and Research,107968,Germany,Senior,Remote,48583.56
2023,Data Science and Research,86374,Germany,Senior,Remote,48583.56
2023,Machine Learning and AI,275000,Germany,Senior,In-person,48583.56
2023,Machine Learning and AI,174000,Germany,Senior,In-person,48583.56
2023,Data Engineering,26992,Germany,Entry-level,Remote,48583.56
2022,Data Analysis,60938,Germany,Entry-level,In-person,48583.56
2022,Data Science and Research,64090,Germany,Mid-level,In-person,48583.56
2022,Data Science and Research,60938,Germany,Mid-level,In-person,48583.56
2022,Data Science and Research,66192,Germany,Entry-level,Hybrid,48583.56
2022,Data Science and Research,75648,Germany,Mid-level,Remote,48583.56
2022,Data Science and Research,126080,Germany,Mid-level,In-person,48583.56
2022,Data Science and Research,84053,Germany,Mid-level,In-person,48583.56
2022,Data Analysis,50432,Germany,Mid-level,Remote,48583.56
2022,Data Science and Research,60938,Germany,Mid-level,Remote,48583.56
2022,Data Engineering,65666,Germany,Mid-level,Hybrid,48583.56
2020,Data Science and Research,49268,Germany,Entry-level,In-person,48583.56
2022,Data Science and Research,155499,Germany,Senior,Remote,48583.56
2022,Machine Learning and AI,84053,Germany,Senior,In-person,48583.56
2020,Data Engineering,59303,Germany,Mid-level,Remote,48583.56
2021,Data Science and Research,130026,Germany,Executive,Hybrid,48583.56
2021,Data Science and Research,63831,Germany,Entry-level,Hybrid,48583.56
2021,Leadership and Management,79197,Germany,Senior,Remote,48583.56
2021,Data Science and Research,76833,Germany,Entry-level,Remote,48583.56
2021,Machine Learning and AI,94564,Germany,Senior,Hybrid,48583.56
2021,Machine Learning and AI,95746,Germany,Mid-level,Remote,48583.56
2020,Data Science and Research,79833,Germany,Mid-level,In-person,48583.56
2021,Data Science and Research,76833,Germany,Entry-level,In-person,48583.56
2021,Data Engineering,65013,Germany,Entry-level,Hybrid,48583.56
2021,Data Analysis,63831,Germany,Senior,Hybrid,48583.56
2021,Data Science and Research,141846,Germany,Executive,In-person,48583.56
2021,Machine Learning and AI,24823,Germany,Entry-level,Hybrid,48583.56
2021,Data Science and Research,90734,Germany,Mid-level,Hybrid,48583.56
2021,Data Science and Research,61467,Germany,Mid-level,Hybrid,48583.56
2021,Data Science and Research,88654,Germany,Mid-level,Hybrid,48583.56
2020,Data Science and Research,62726,Germany,Entry-level,Hybrid,48583.56
2021,Data Science and Research,90734,Germany,Mid-level,Hybrid,48583.56
2021,Data Science and Research,173762,Germany,Senior,Remote,48583.56
2020,Data Science and Research,148261,Germany,Senior,Remote,48583.56
2023,Data Architecture and Modeling,186000,United States,Senior,In-person,95100.0
2023,Data Architecture and Modeling,81800,United States,Senior,In-person,95100.0
